'Oumuamua	奥陌陌
Nobeyama Radio Observatory	野边山射电天文台
Nobile crater	诺毕尔环形山
Noctis Labyrinthus	诺克提斯沟网
Noctua	猫头鹰座
Nodus I	上弼; 紫微右垣四
Nodus Primus	上弼; 紫微右垣四
Nodus Secundus	天厨一
Nodus Ⅱ	天厨一
Noether's theorem	纳脱定理
Nonius crater	努内斯环形山
Nor	全称：Norma。矩尺座
Nordic Optical Telescope	缩写：NOT。北欧光学望远镜
Nordtvedt effect	诺特维特效应
Norma	缩写：Nor。矩尺座
Norma arm	矩尺臂
North America Nebula	北美星云
North America plate	北美板块
North Galactic Cap	北银冠
North Galactic Pole	北银极
North Polar Region	北极区
North Star	勾陈一; 北极星
Northern Coalsack	北煤袋
Northern Cross	北十字
Northern Dipper	北斗[七星]
Northern PZT program	缩写：NPZT。北天PZT星纲要
Northern Palace Black Tor	北宫玄武
Northern Palace Black Warrior	北宫玄武
Northern Proper Motion Catalog	北天自行星表
Northern tropic	北回归线
Nova Cygni	天鹅座新星
November meteors	十一月流星雨
November swarm	十一月流星雨
Nozomi	希望号
Np	全称：neptunium。镎
NuSTAR	全称：Nuclear Spectroscopic Telescope Array。核分光望远镜阵
Nubecula Minor	小麦哲伦云
Nubeculae	麦哲伦云
Nuclear Spectroscopic Telescope Array	缩写：NuSTAR。核分光望远镜阵
Nuffield Radio Astronomy Laboratories	纳菲尔德射电天文实验室
Numerov crater	努梅罗夫环形山
Nunki	斗宿四
Nuovo Cimento C	新试验C辑
Nusakan	贯索三
Nushaba	箕宿一
Nuwa	女娲星
Nyquist criterion	尼奎斯特判据
Nyquist formula	尼奎斯特公式
Nyquist frequency	尼奎斯特频率
Nyquist limit	尼奎斯特极限
Nyquist sampling	尼奎斯特采样
Nysa	侍神星
Nysa family	侍神星族
Nördlinger Ries crater	诺德林格里斯陨星坑
Nüsl crater	努斯尔环形山
O	全称：oxygen。氧
O association	O星协
O cluster	O星团
O dwarf	O型矮星
O giant	O型巨星
O magnitude	O星等
O star	O型星
O subdwarf	O型亚矮星
O supergiant	O型超巨星
O'Day crater	奥戴环形山
O-Ne-Mg white dwarf	氧氖镁白矮星
O-type star	O型星
O.S.	全称：Old Style。旧历
OAO	全称：Orbiting Astronomical Observatory。轨道天文台
OAO-3	哥白尼天文卫星
OB association	OB星协
OB cluster	OB星团
OB star	OB型星
OB supergiant	OB型超巨星
OCDM model	全称：Open Cold Dark Matter model。冷暗物质开模型
OD	全称：optical density。光学密度
OG	全称：objective; object glass。物镜
OGLE	全称：Optical Gravitational Lensing Experiment。光学引力透镜实验
OGO	全称：Orbiting Geophysical Observatory。轨道地球物理台
OH absorption	羟基吸收; OH吸收
OH cloud	羟基云; OH云
OH emission	羟基发射; OH发射
OH line	羟基谱线; OH谱线
OH maser	全称：hydroxyl maser。羟基微波激射
OH radical	全称：hydroxyl radical。羟基
OH source	羟基源; OH源
OH star	羟基星; OH星
OH-IR source	羟基红外源
OH/IR source	羟基红外源; OH/IR源
OH/IR star	羟基红外星; OH/IR星
OHANA	全称：Optical Hawaiian Array for Nanoradian Astronomy。夏威夷纳弧度天文光学阵
OHP	全称：Haute Provence Observatory。上普罗旺斯天文台
OIFITS	全称：Optical Interferometry Exchange Format。光学干涉FITS格式
OMC	全称：Orion Molecular Cloud。猎户座分子云
OP	1、全称：Observatoire de Paris。巴黎天文台; 2、全称：Paris Observatory。巴黎天文台
ORB	全称：Observatoire Royal de Belgique。比利时皇家天文台
ORM	全称：Observatorio del Roque de los Muchachos。穆查丘斯罗克天文台
ORS	全称：Octahedral Research Satellite。八面体系列科学卫星
ORT	全称：Ooty Radio Telescope。乌塔卡蒙德射电望远镜
OSCAR	全称：Orbiting Satellite Carrying Amateur Radio。奥斯卡系列卫星
OSIRIS-REx	1、全称：Origins Spectral Interpretation Resource Identification Security Regolith Explorer。奥西里斯王号小行星探测器; 2、全称：Origins, Spectral Interpretation, Resource Identification, Security, Regolith Explorer。奥斯里斯号
OSO	全称：Orbiting Solar Observatory。轨道太阳观测站
OTCCD	全称：orthogonal transfer CCD。正交转移CCD
OTF	全称：optical transfer function。光学转移函数
OV	全称：Orbiting Vehicle。OV轨道飞行器
OV-France	全称：Observatoire Virtuel France。法国虚拟天文台
OVRO	全称：Owens Valley Radio Observatory。欧文斯谷射电天文台
OVV quasar	全称：optically violent variable quasar; optically violently variable quasar。光剧变类星体; OVV类星体
OWL	全称：Orbiting Wide-angle Light Collectors。广角集光卫星
Oberon	天卫四
Oberth crater	奥伯特环形山
Obolon' crater	奥博隆陨星坑
Obruchev crater	奥布鲁切夫环形山
Observatoire Royal de Belgique	缩写：ORB。比利时皇家天文台
Observatoire Virtuel France	缩写：OV-France。法国虚拟天文台
Observatoire de Paris	缩写：OP。巴黎天文台
Observatorio del Roque de los Muchachos	缩写：ORM。穆查丘斯罗克天文台
Observatorio del Teide	泰德峰天文台
Observatory	天文台
Oceana	奥希阿纳
Oceanus Procellarum	风暴洋
Oct	全称：Octans。南极座
Octahedral Research Satellite	缩写：ORS。八面体系列科学卫星
Octans	缩写：Oct。南极座
Oculus Boreus	毕宿一
Odessa Astronomical Observatory	敖德萨天文台
Odessa crater	敖德萨陨星坑
Odin	奥丁号
Odysseus	奥德赛
Odysseus crater	奥德赛环形山
Oe star	Oe型星
Oef star	Oef型星
Of star	Of型星
Offner relay system	奥夫纳中继光学系统
Ohio Sky Survey	俄亥俄射电巡天
Ohio State University Radio Observatory	俄亥俄州立大学射电天文台
Ohlson galactic plane	奥尔森银道面
Ohlson galactic pole	奥尔森银极
Ohm crater	欧姆环形山
Ohsumi	大隅号
Okda	外屏七
Oken crater	奥肯环形山
Olbers crater	奥伯斯环形山
Olbers' method	奥伯斯方法
Olbers' paradox	奥伯斯佯谬
Olbersia	奥伯斯
Olcott crater	奥尔科特环形山
Old Style	缩写：O.S.。旧历
Oljato	奥加托
Olympus Mons	奥林匹斯山
Omar Khayyam crater	欧玛尔·海亚姆环形山
Omega Nebula	ω星云
On the Revolution of the Heavenly Spheres	天体运行论
Ondrejov Astrophysical Observatory	昂德列约夫天体物理台
One-Mile Telescope	一英里射电望远镜
Onsala Space Observatory	翁萨拉天文台
Oort cloud	奥尔特云
Oort cloud comet	奥尔特云彗星
Oort cloud object	奥尔特云天体
Oort comet cloud	奥尔特彗星云
Oort constant	奥尔特常数
Oort cycle	奥尔特周
Oort formulae	奥尔特公式
Oort limit	奥尔特极限
Oort's constant	奥尔特常数
Oort's formulae	奥尔特公式
Oort-Spitzer hypothesis	奥尔特-斯皮策假说
Oort-Spitzer mechanism	奥尔特-斯皮策机制
Oosterhoff class	奥斯特霍夫类型
Oosterhoff group	奥斯特霍夫星群
Ootacamund Radio Astronomy Centre	乌塔卡蒙德射电天文中心
Ooty Radio Telescope	缩写：ORT。乌塔卡蒙德射电望远镜
Opaque Era	不透明时期
Open Cold Dark Matter model	缩写：OCDM model。冷暗物质开模型
Oph	全称：Ophiuchus。蛇夫座
Ophelia	1、天卫七; 2、奥菲丽亚
Ophir Chasma	俄斐深谷
Ophiuchid meteor shower	蛇夫流星雨
Ophiuchids	蛇夫流星群
Ophiuchus	缩写：Oph。蛇夫座
Ophiuchus Ridge	蛇夫脊
Opik theory	欧皮克理论
Opik-Oort cloud	欧皮克-奥尔特云
Oppenheimer crater	奥本海默环形山
Oppenheimer-Volkoff limit	奥本海默-沃尔科夫极限
Opportunity Mars Exploration Rover	机遇号火星探测车
Optical Gravitational Lensing Experiment	缩写：OGLE。光学引力透镜实验
Optical Hawaiian Array for Nanoradian Astronomy	缩写：OHANA。夏威夷纳弧度天文光学阵
Optical Interferometry Exchange Format	缩写：OIFITS。光学干涉FITS格式
Orbiting Astronomical Observatory	缩写：OAO。轨道天文台
Orbiting Geophysical Observatory	缩写：OGO。轨道地球物理台
Orbiting Satellite Carrying Amateur Radio	缩写：OSCAR。奥斯卡系列卫星
Orbiting Solar Observatory	缩写：OSO。轨道太阳观测站
Orbiting Vehicle	缩写：OV。OV轨道飞行器
Orbiting Wide-angle Light Collectors	缩写：OWL。广角集光卫星
Orcus	亡神星
Oreol	日晕号
Oresme crater	奥雷姆环形山
Orgueil meteorite	奥盖尔陨星
Ori	全称：Orion。猎户座
Orientale Basin	东海盆地
Origem Loop	猎户双子圈
Original Gas hypothesis	原气说
Origins Spectral Interpretation Resource Identification Security Regolith Explorer	缩写：OSIRIS-REx。奥西里斯王号小行星探测器
Origins, Spectral Interpretation, Resource Identification, Security, Regolith Explorer	缩写：OSIRIS-REx。奥斯里斯号
Orion	缩写：Ori。猎户座
Orion Arm	猎户臂
Orion Loop	猎户圈
Orion Molecular Cloud	缩写：OMC。猎户座分子云
Orion Nebula	猎户[大]星云
Orion aggregate	猎户星集
Orion association	猎户星协
Orion population star	猎户族恒星
Orion spectrum	猎户光谱
Orion spur	猎户射电支
Orion variable	猎户型变星
Orion's belt	猎户腰带
Orion's sword	猎户腰刀
Orion-type flare star	猎户型耀星
Orionid meteor shower	猎户座流星雨
Orionids	猎户流星群
Orlov crater	奥尔洛夫环形山
Orthosie	木卫三十五
Os	全称：osmium。锇
Oschin Telescope	奥欣望远镜
Oslo University Observatory	奥斯陆大学天文台
Ostriker-Peebles criterion	奥斯特里克-皮布尔斯判据
Ostriker-Vishniac effect	奥斯特里克-维希尼克效应
Ostwald crater	奥斯特瓦尔德环形山
Osumi	大隅号
Otohime Saxum	乙姬岩
Ottawa River Solar Observatory	渥太华河太阳观测台
Otto Struve Telescope	斯特鲁维望远镜
Oujianquan	区鉴泉
Outer Arm	外缘旋臂
Ovda Regio	奥华特地区
Owens Valley Radio Observatory	缩写：OVRO。欧文斯谷射电天文台
Owl Cluster	夜枭星团
Owl Nebula	夜枭星云
Ox	牛宿
Ozma project	奥兹玛计划
Ozza Mons	奥扎山
P	全称：phosphorus。磷
P Cyg star	全称：P-Cygni star; P-Cygni type star。天鹅P型星
P branch	P谱带
P magnitude	P星等
P wave	全称：primary wave。P波; 初波; 地震纵波
P-Cygni line profile	天鹅P谱线轮廓
P-Cygni phenomenon	天鹅P现象
P-Cygni profile	天鹅P谱线轮廓
P-Cygni star	缩写：P Cyg star。天鹅P型星
P-Cygni type star	缩写：P Cyg star。天鹅P型星
P-Cygni variable	天鹅P型变星
P-L relation	全称：period-luminosity relation。周光关系
P-L-C relation	全称：period-luminosity-color relation。周光色关系
P-class asteroid	P 型小行星
P-type asteroid	P型小行星
P.M.	全称：proper motion。自行
PA	全称：position angle。位置角
PAAS	全称：Publications of the American Astronomical Society。美国天文学会会刊
PAH	全称：polycyclic aromatic hydrocarbon。多环芳烃
PAMELA	全称：Payload for Antimatter Matter Exploration and Light-nuclei Astrophysics。PAMELA实验
PAPA	全称：precision analog photon address。精密模拟光子定位
PASA	全称：Proceedings of the Astronomical Society of Australia。澳大利亚天文学会会刊
PASJ	全称：Publications of the Astronomical Society of Japan。日本天文学会会刊
PASP	全称：Publications of the Astronomical Society of the Pacific。太平洋天文学会会刊
PCA	1、全称：polar cap absorption。极冠吸收; 2、全称：principal component analysis。主成分分析
PD	全称：Potsdamer Durchmusterung。波茨坦巡天星表
PDE	全称：pure density evolution。纯密度演化
PDF	全称：probability distribution function。概率分布函数
PDR	全称：photo-dissociation region。光致离解区
PDS	1、全称：photo-digitizing system。图像数字仪; 2、全称：photometric data system。测光数据仪
PEM	全称：Photoelastic modulator。光弹调制器
PG survey	全称：Palomar Green survey。帕洛玛-格林巡天
PGC	全称：Preliminary General Catalogue。博斯总星表初编
PHA	全称：potentially hazardous asteroid。潜在威胁小行星
PHL	全称：Palomar-Haro-Luyten Catalogue of Blue Stellar Objects。PHL蓝星体表
PIB model	全称：primordial isocurvature baryon model。原初等曲率重子模型
PKS	全称：Parkes Catalogue of Radio Sources。帕克斯射电源表
PLATO	全称：PLAnetary Transits and Oscillations of stars。柏拉图探测器
PLAnetary Transits and Oscillations of stars	缩写：PLATO。柏拉图探测器
PLE	全称：pure luminosity evolution。纯光度演化
PM	全称：post meridiem。下午
PM algorithm	全称：particle-mesh algorithm。质点-网格算法
PM code	全称：Particle Mesh code。质点-网格程序
PMC	全称：polar mesospheric cloud。极地中层云
PMS	全称：pre-main sequence。主序前
PMS object	全称：pre-main sequence object。主序前天体
PMS star	全称：pre-main sequence star。主序前星
PN	全称：planetary nebula。行星状星云
POGO	全称：Polar Orbiting Geophysical Observatory。极轨地球物理台
POLARIS	全称：Polar Motion Analysis by Radio Interferometric Surveying。射电干涉测量极移计划
POP mirror	弹出镜
POSS	全称：Palomar Observatory Sky Survey。帕洛玛天图
PP	全称：Pulkovo pulsar。普尔科沃脉冲星
PP algorithm	全称：particle-particle algorithm。质点-质点算法
PPD	全称：Potsdamer Photometrische Durchmusterung。波茨坦测光星表
PPM	全称：piecewise parabolic method。逐段抛物线法
PPM Star Catalogue	全称：Positions and Proper Motions Star Catalogue。PPM恒星位置和自行表
PPN formalism	全称：parameterized post-Newtonian formalism。参数化后牛顿形式
PS mass function	全称：Press-Schechter mass function。普雷斯-谢克特质量函数
PSCz survey	全称：Point Source Catalog Redshift Survey。点源星表红移巡天
PSD	全称：Potsdamer Spektral-Durchmusterung。波茨坦恒星光谱表
PSF	全称：point spread function。点扩散函数
PSR	全称：pulsar。脉冲星
PSS	1、全称：Palomar Sky Survey。帕洛玛天图; 2、全称：Planetary Space Science。行星空间科学
PST	全称：Pacific standard time。太平洋标准时
PTA	全称：pulsar timing array。脉冲星计时阵
PTTI	全称：precise time and time interval。精密时刻和时间间隔
PV Telescopii star	望远镜 PV 型星
PVD	全称：pairwise velocity dispersion。成对速度弥散
PWN	全称：pulsar wind nebula。脉冲星风星云
PZT	全称：photographic zenith tube。照相天顶筒
Pa	全称：protactinium。镤
Paaliaq	土卫二十
Pabu	曝卫
Pacific plate	太平洋板块
Pacific standard time	缩写：PST。太平洋标准时
Padua University Astrophysical Observatory	帕多瓦大学天体物理台
Palermo Circle	巴勒莫环形仪
Pales	牧神星
Pallas	智神星
Pallene	土卫三十三
Palomar Green survey	缩写：PG survey。帕洛玛-格林巡天
Palomar Observatory	帕洛玛天文台
Palomar Observatory Sky Survey	缩写：POSS。帕洛玛天图
Palomar Sky Survey	缩写：PSS。帕洛玛天图
Palomar-Haro-Luyten Catalogue of Blue Stellar Objects	缩写：PHL。PHL蓝星体表
Palus Epidemiarum	疫沼
Palus Nebularum	雾沼
Palus Putredinis	腐沼
Palus Somni	梦沼
Pan	土卫十八
Pan-STARRS	全称：Panoramic Survey Telescope and Rapid Response System。泛星计划
Pancha-Siddhantika	五种历数全书
Pandora	1、土卫十七; 2、祸神星
Paneth crater	帕内特环形山
Panopaea	蟹神星
Panoramic Survey Telescope and Rapid Response System	缩写：Pan-STARRS。泛星计划
Papaleksi crater	帕帕列克西环形山
Paranal Observatory	帕拉纳尔天文台
Paris	帕里斯
Paris Observatory	缩写：OP。巴黎天文台
Paris classification	巴黎光谱分类
Parker instability	帕克不稳定性
Parker model	帕克模型
Parkes Catalogue of Radio Sources	缩写：PKS。帕克斯射电源表
Parkes Observatory	帕克斯天文台
Parkes Radio Telescope	帕克斯射电望远镜
Parkhurst crater	帕克赫斯特环形山
Parrot crater	帕罗特环形山
Parthenope	海妖星
Particle Mesh code	缩写：PM code。质点-网格程序
Pascal crater	帕斯卡环形山
Pascal triangle	帕斯卡三角
Paschal table	复活节历表
Paschen continuum	帕邢连续区
Paschen crater	帕邢环形山
