1/f 噪声	1/f noise
大麦云	全称：Large Magellanic Cloud。缩写：LMC
大麦哲伦云	全称：Large Magellanic Cloud。缩写：LMC
天仓一	Deneb Kaitos
天仓二	Deneb Algenubi
天仓四	Baten Kaitos
天体	aster; celestial body; celestial object; orb
天体偏振测量	astronomical polarimetry; astropolarimetry
天体偏振计	astropolarimeter
天体光度计	astrophotometer
天体光谱学	astrospectroscopy; astronomical spectroscopy
天体出没方位角	amplitude
天体分光光度测量	astronomical spectrophotometry
天体分光光度计	astronomical spectrophotometer
天体分光测量	astrospectrometry
天体分光计	astrospectrometer
天体分光镜	astronomical spectroscope; astrospectroscope
天体力学	astromechanics; celestial mechanics
天体力学和动力天文学	Celestial Mechanics & Dynamical Astronomy
天体力学家	celestial mechanician
天体化学	1、astrochemistry; 2、cosmochemistry
天体号	全称：automatic astronomical station。缩写：ASTRON
天体地理学	astrogeography
天体地质学	astrogeology; astronomical geology
天体基本物理学	astrofundamental physics
天体密码学	celestial cryptography
天体层析摄像	astrotomography
天体年代学	astrochronology
天体微波激射	celestial maser
天体摄谱仪	astrospectrograph; astronomical spectrograph
天体植物学	astrobotany
天体气象学	astrometeorology
天体波谱学	astrospectroscopy
天体测光	astronomical photometry; astrophotometry
天体测量	uranometry
天体测量仪	astrometer
天体测量仪器	astrometric instrument
天体测量位置	astrometric position; astrometric place
天体测量卫星	astrometry satellite
天体测量双星	astrometric binary
天体测量基线	astrometric baseline
天体测量学	astrometry
天体测量学家	astrometrist
天体测量方位	astrometric aspect
天体测量期望	astrometric expectation
天体测量照相	astrometric photograph
天体测量误差	astrometric error
天体测量赤纬	astrometric declination
天体测量赤经	astrometric right ascension
天体测量距离	astrometric distance
天体测量轨道	astrometric orbit
天体演化学	cosmogony
天体演化学家	cosmogoner; cosmogonist
天体演化理论	cosmogonal theory
天体照片	celestial photograph
天体照相	celestial photography
天体照相仪	astrograph; astrophotograph
天体照相位置	astrographic position
天体照相双合透镜	astrographic doublet
天体照相学	astrophotography; astronomical photography; astrography
天体照相底片	astrographic plate
天体照相机	astrographic camera; astrophotocamera; astrocamera
天体照相物镜	astrographic objective
天体物理和空间科学	全称：Astrophysics and Space Science。缩写：ApSS
天体物理喷流	astrophysical jet
天体物理学	1、Astrophysics; 2、astrophysics
天体物理学与天文学杂志	Journal of Astrophysics and Astronomy
天体物理学家	astrophysicist
天体物理学报	全称：Astrophysical Journal。缩写：ApJ
天体物理学报增刊	全称：Astrophysical Journal Supplement Series。缩写：ApJS
天体物理学报通信	全称：Astrophysical Journal Letters。缩写：ApJL
天体物理微波激射器	astrophysical maser
天体物理手册	全称：Handbuch der Astrophysik。缩写：HdAp
天体物理技术	astrophysical technique
天体物理数据系统	全称：Astrophysics Data System。缩写：ADS
天体物理方法	astrophysical method
天体物理测量	astrophysical astrometry
天体物理虚拟天文台	全称：Astrophysical Virtual Observatory。缩写：AVO
天体生物学	1、Astrobiology; 2、astrobiology; 3、cosmobiology
天体磁学	astromagnetism
天体粒子物理学	1、Astroparticle Physics; 2、astroparticle physics
天体脉泽	celestial maser
天体视向速度仪	astrovelocimeter
天体运行论	1、De revolutionibus orbium coelestium; 2、On the Revolution of the Heavenly Spheres
天体钟	celestial clock
天体高温计	astronomical pyrometer
天光	sky-light
天光光谱	sky spectrum
天光因子	sky factor
天光平场	sky flat
天兔座	全称：Lepus。缩写：Lep
天关	Tianguan
天关客星	Tian-guan guest star
天卫	Uranian satellite; satellite of Uranus
天卫一	Ariel
天卫七	Ophelia
天卫三	Titania
天卫九	Cressida
天卫二	Umbriel
天卫二十	Stephano
天卫二十一	Trinculo
天卫二十七	Cupid
天卫二十三	Margaret
天卫二十二	Francisco
天卫二十五	Perdita
天卫二十六	Mab
天卫二十四	Ferdinand
天卫五	Miranda
天卫八	Bianca
天卫六	Cordelia
天卫十	Desdemona
天卫十一	Juliet
天卫十七	Sycorax
天卫十三	Rosalind
天卫十九	Setebos
天卫十二	Portia
天卫十五	Puck
天卫十八	Prospero
天卫十六	Caliban
天卫十四	Belinda
天卫四	Oberon
天厨一	Altais; Nodus Ⅱ; Nodus Secundus
天厨三	Tyl
天厨二	Alsafi
天右五	Chow
天周	celestial revolution
天园九	Theemim
天园六	Acamar
天囷一	Menkab; Menkar; Monkar
天囷三	Menkar
天囷八	Kaffaljidhma
天图	sky atlas; celestial chart; sky map; atlas
天坛座	Ara
天垒城一	Bunda
天大将军一	Almach
天大将军三	Nembus
天大将军六	Titawin
天大将军增一	Adhil
天大将军增二	Adhil
天学	uranology
天宫图	horoscope
天市右垣一	Korneforos; Kornephoros; Rutilicus
天市右垣七	Cor Serpentis; Unuk al Hai; Unukalhai
天市右垣三	Marfak; Marsik
天市右垣九	Yed Prior; Jed Prior
天市右垣十	Yed Post; Yed Posterior
天市右垣十一	Han
天市垣	Celestial Market Enclosure
天市左垣一	Sarin
天市左垣七	Alga; Alya
天市左垣二	Maasym; Mazym; Mazim 
天市左垣十一	Sabik
天干	celestial stem; heavenly stem
天平动	libration
天平动偏异	libration deviation
天平动效应	libration effect
天平动椭圆	libration ellipse
天底	nadir
天底读数	nadir reading
天底距	nadir distance
天弁七	Althalimain
天心坐标	uranicentric coordinate
天文三角形	astronomical triangle
天文仪	astroscope
天文仪器	astronomical instrument
天文位置线	astro-position line
天文信息学	Astroinformatics
天文光子学	astrophotonics
天文光学	astronomical optics
天文光行差	astronomical aberration
天文动力学	astrodynamics
天文单位	全称：astronomical unit。缩写：au; AU
天文卫星	astronomical satellite
天文历书	astronomical chronicle
天文参考系	astronomical reference system
天文可见光及红外巡天望远镜	全称：Visible and Infrared Survey Telescope for Astronomy。缩写：VISTA
天文台	1、Observatory; 2、observatory; astronomical observatory
天文台圆顶	observatory dome
天文号卫星	Astrosat
天文命名	astronomical nomenclature
天文和天体物理学研究	全称：Research in Astronomy and Astrophysics。缩写：RAA
天文图像处理系统	全称：astronomical image-processing system。缩写：AIPS
天文图像复原	astronomical image reconstruction
天文圆顶	astrodome
天文地球动力学	astrogeodynamics
天文地球物理学	astrogeophysics
天文坐标	astronomical coordinate
天文坐标系统	astronomical coordinate system
天文垂线	astronomical vertical
天文大地测量偏差	astrogeodetic deflection
天文天顶	astronomical zenith
天文子午圈	astronomical meridian
天文子午线	astronomical meridian
天文学	astronomy
天文学与地球物理学	Astronomy & Geophysics
天文学与天体物理学评论	Astronomy and Astrophysics Review
天文学会会刊	全称：Mitteilungen der Astronomischen Gesellschaft。缩写：MAG
天文学史	history of astronomy
天文学和天体物理学	全称：Astronomy and Astrophysics。缩写：A&A; AAp
天文学和天体物理学年评	全称：Annual Review of Astronomy and Astrophysics。缩写：ARAA
天文学和天体物理学文摘	全称：Astronomy and Astrophysics Abstracts。缩写：AAA
天文学大成	Almagest
天文学家	astronomer
天文学报	1、Acta Astronomica; 2、Chinese Astronomy and Astrophysics; 3、全称：Astronomical Journal。缩写：AJ
天文学报告	Astronomy Reports
天文学通信	Astronomy Letters
天文定向	astronomical orientation
天文导航	astronavigation; celestial guidance; celestial navigation
天文常数	astronomical constant
天文常数系统	system of astronomical constants; astronomical constant system
天文年历	全称：astronomical ephemeris; astronomical almanac; astronomical year book。缩写：A.E.
天文年报	全称：Astronomischer Jahresbericht。缩写：AJB
天文底片	astronomical plate; astronegative
天文志	Astronomical Chapter
天文惯性导航	celestial inertial guidance
天文技术	astronomical technique
天文数据中心	astronomical data center
天文方法	astronomical method
天文日	astronomical day
天文日期	astronomical date
天文时	astronomical time
天文时标	astronomical time scale
天文晨昏蒙影	astronomical twilight
天文望远镜	astronomical telescope
天文极限	astronomical limitation
天文检验	astronomical test
天文气候	astronomical climate; astroclimate
天文气候学	astroclimatology
天文水准测量	astronomical levelling
天文测地学	astrogeodesy; astronomical geodesy
天文测量	astronomical measurement
天文点	astronomical point
天文照片	astrophotogram
天文爱好者	amateur astronomer; astrophile; stargazer
天文电子学	astrionics
天文电报	astronomical telegram; astrogram
天文电报中央局	Central Bureau for Astronomical Telegrams
天文电视	astrotelevision
天文研究	astronomical research
天文立体照片	astrostereogram
天文符号	astronomical sign
天文粒子物理学	astroparticle physics
天文纬度	astronomical latitude
天文经度	astronomical longitude
天文经纬仪	astronomical theodolite
天文统计学	astrostatistics
天文罗盘	astronomical compass
天文考古学	astroarchaeology
天文观测	astronomical observation
天文视宁度	astronomical seeing
天文距离	astronomical distance
天文通报	全称：Astronomische Nachrichten。缩写：AN
天文钟	astronomical clock
天文馆	planetarium
天星一号	Astro-1
天星二号	Astro-2
天权	Megrez
天杵	celestial baton
天极	celestial pole
天极偏差	celestial pole offsets
天极距	celestial polar distance
天枢	Dubhe
天枪	celestial lance
天枪一	Asellus Tertius
天枪三	Asellus Primus
天枪二	Asellus Secundus
天棓	celestial flail
天棓一	Genam; Genan; Grumium
天棓三	Alwaid; Rastaban
天棓二	Kuma
天棓四	Eltanin; Etamin
天棓增九	Alrakis
天樽二	Wasat; Wesat
天河	全称：Milky Way。缩写：MW
天波	sky-wave
天津	Tianjin
天津一	Sadir; Sador; Sadr
天津九	Aljanah; Gienah; Gienah Cygni
天津二	Rukh; Urakhga
天津四	Deneb; Deneb Cygni
天津增三十七	Ruchba
天津增三十四	Al Rukbah al Dajajah
天津大学	Tianjindaxue
天测仪器	astrometric instrument
天测双星	astrometric binary
天测期望	astrometric expectation
天测照片	astrometric photograph
天测照相	astrometric photograph
天测精度	astrometric precision
天测误差	astrometric error
天测距离	astrometric distance
天测轨道	astrometric orbit
天涯海角	Tianyahaijiao
天渊一	Arkab Posterior
天渊三	Alrami; Rukbat
天渊二	Arkab Prior
天炉座	全称：Fornax。缩写：For
天炉星系	Fornax system
天炉星系团	Fornax cluster
天炉矮星系	Fornax Dwarf Galaxy
天然X射线背景	natural X-ray background
天然γ射线背景	natural γ-ray background
天然光学背景	natural optical background
天然卫星	natural satellite
天然射电背景	natural radio background
天然石英	natural quartz
天然辐射带	natural radiation belt
天燕座	全称：Apus。缩写：Aps
天牢三	Chalawan
天狗	celestial dog
天狗周	Sepedet
天狼[星]	Sirius; Canicula; Aschere; Dog Star
天狼伴星	Sirian companion
天狼周	Sothic cycle
天狼增四	Muliphain; Muliphein; Muliphen
天狼年	Sothic year
天猫座	全称：Lynx。缩写：Lyn
天王族彗星	comet of Uranus family
天王星	Uranus
天王星环	Uranian ring; ring of Uranus; Uranus' ring
天王星窄环	Uranian ringlet
天玑	Phacd; Phachd; Phad; Phecda
天球	celestial sphere; coelosphere
天球中间参考系	全称：Celestial Intermediate Reference System。缩写：CIRS
天球中间极	全称：Celestial Intermediate Pole。缩写：CIP
天球中间零点	全称：Celestial Intermediate Origin。缩写：CIO
天球仪	1、celestial globe; celestial sphere; 2、cosmosphere
天球切面	plane of the sky
天球历书极	全称：celestial ephemeris pole。缩写：CEP
天球历书零点	全称：Celestial Ephemeris Origin 。缩写：CEO
天球参考系	全称：Celestial Reference System。缩写：CRS
天球地平	celestial horizon
天球坐标	celestial coordinate
天球坐标系	celestial coordinate system; celestial system
